LCT	2	135500000	137500000
ASIP	20	32000000	34000000
KITLG	12	88000000	90000000
TYR	11	88000000	90000000
OCA2	15	27300000	29300000
SLC24A4	14	92000000	94000000
TYRP1	9	11700000	13700000
TPCN2	11	60000000	80000000
DAZL	3	15600000	17600000
PRM1.2	16	10400000	12400000
SEMG1	20	43000000	45000000
ZP2	16	20200000	22200000
ZP3	7	75000000	77000000
BNC2	9	15600000	17600000
EDNRB	13	77500000	79500000
TTC3	21	37500000	39500000
GABBR2	9	100000000	102000000
CHRNA3	15	78000000	80000000
GeneNA	9	21000000	23000000
COMT	22	19000000	21000000
ABCC11	16	47000000	49000000
OPRM1	6	153500000	155500000
TCF7L2	10	114000000	116000000
ACTN3	11	65000000	67000000
ANKK1	11	112000000	114000000
MC1R	16	89000000	91000000
FTO	16	53000000	55000000
SLC45A2	5	33000000	35000000
